,date,seizure
0,2001-02-01,5830.0
1,2001-03-01,4035.0
2,2001-04-01,3636.0
3,2001-05-01,42145.0
4,2001-06-01,2973.0
5,2001-07-01,6447.0
6,2001-08-01,2424.0
7,2001-09-01,5443.0
8,2001-10-01,2037.0
9,2001-11-01,91455.0
10,2001-12-01,3137.0
11,2002-01-01,1793.0
12,2002-02-01,7139.0
13,2002-03-01,6121.0
14,2002-04-01,2760.0
15,2002-05-01,1988.0
16,2002-06-01,1704.0
17,2002-07-01,299.0
18,2002-08-01,3800.0
19,2002-09-01,666.0
20,2002-10-01,2961.0
21,2002-11-01,1431.0
22,2002-12-01,6155.0
23,2003-01-01,3269.0
24,2003-02-01,487.0
25,2003-03-01,1113.0
26,2003-04-01,2435.0
27,2003-05-01,2902.0
28,2003-06-01,46433.0
29,2003-07-01,286.0
30,2003-08-01,318.0
31,2003-09-01,214.0
32,2003-10-01,1140.0
33,2003-11-01,2537.0
34,2003-12-01,3535.0
35,2004-01-01,2085.0
36,2004-02-01,122.0
37,2004-03-01,878.0
38,2004-04-01,3673.0
39,2004-05-01,1700.0
40,2004-06-01,107.0
41,2004-07-01,1164.0
42,2004-08-01,1267.0
43,2004-09-01,534.0
44,2004-10-01,66.0
45,2004-11-01,530.0
46,2004-12-01,66.0
47,2005-01-01,314.0
48,2005-02-01,3128.0
49,2005-03-01,519.0
50,2005-04-01,496.0
51,2005-05-01,758.0
52,2005-06-01,2013.0
53,2005-07-01,1285.0
54,2005-08-01,4172.0
55,2005-09-01,1844.0
56,2005-10-01,891.0
57,2005-11-01,3270.0
58,2005-12-01,599.0
59,2006-01-01,604.0
60,2006-02-01,802.0
61,2006-03-01,2962.0
62,2006-04-01,3884.0
63,2006-05-01,1365.0
64,2006-06-01,3602.0
65,2006-07-01,1635.0
66,2006-08-01,959.0
67,2006-09-01,2399.0
68,2006-10-01,1462.0
69,2006-11-01,1236.0
70,2006-12-01,633.0
71,2007-01-01,53.0
72,2007-02-01,746.0
73,2007-03-01,3883.0
74,2007-04-01,2366.0
75,2007-05-01,2578.0
76,2007-06-01,3994.0
77,2007-07-01,1395.0
78,2007-08-01,1095.0
79,2007-09-01,1911.0
80,2007-10-01,1657.0
81,2007-11-01,3485.0
82,2007-12-01,576.0
83,2008-01-01,1395.0
84,2008-02-01,1281.0
85,2008-03-01,404.0
86,2008-04-01,2089.0
87,2008-05-01,1963.0
88,2008-06-01,589.0
89,2008-07-01,702.0
90,2008-08-01,655.0
91,2008-09-01,3534.0
92,2008-10-01,4596.0
93,2008-11-01,1379.0
94,2008-12-01,6985.0
95,2009-01-01,2179.0
96,2009-02-01,1329.0
97,2009-03-01,3573.0
98,2009-04-01,619.0
99,2009-05-01,1387.0
100,2009-06-01,2155.0
101,2009-07-01,756.0
102,2009-08-01,639.0
103,2009-09-01,345.0
104,2009-10-01,565.0
105,2009-11-01,1045.0
106,2009-12-01,597.0
107,2010-01-01,577.0
108,2010-02-01,695.0
109,2010-03-01,1435.0
110,2010-04-01,239.0
111,2010-05-01,1790.0
112,2010-06-01,993.0
113,2010-07-01,319.0
114,2010-08-01,2304.0
115,2010-09-01,1732.0
116,2010-10-01,511.0
117,2010-11-01,35.0
118,2010-12-01,1258.0
119,2011-01-01,190.0
120,2011-02-01,3361.0
121,2011-03-01,3038.0
122,2011-04-01,4905.0
123,2011-05-01,3410.0
124,2011-06-01,2894.0
125,2011-07-01,99.0
126,2011-08-01,199.0
127,2011-09-01,2070.0
128,2011-10-01,631.0
129,2011-11-01,302.0
130,2011-12-01,2367.0
131,2012-01-01,428.0
132,2012-02-01,361.0
133,2012-03-01,2162.0
134,2012-04-01,294.0
135,2012-05-01,494.0
136,2012-06-01,559.0
137,2012-07-01,1803.0
138,2012-08-01,5071.0
139,2012-09-01,1302.0
140,2012-10-01,5722.0
141,2012-11-01,1971.0
142,2012-12-01,549.0
143,2013-01-01,2393.0
144,2013-02-01,335.0
145,2013-03-01,3502.0
146,2013-04-01,8372.0
147,2013-05-01,6657.0
148,2013-06-01,352.0
149,2013-07-01,1016.0
150,2013-08-01,1595.0
151,2013-09-01,179.0
152,2013-10-01,3638.0
153,2013-11-01,2038.0
154,2013-12-01,7612.0
155,2014-01-01,836.0
156,2014-02-01,4347.0
157,2014-03-01,267.0
158,2014-04-01,20912.0
159,2014-05-01,364.0
160,2014-06-01,6337.0
161,2014-07-01,366.0
162,2014-08-01,305.0
163,2014-09-01,6232.0
164,2014-10-01,5684.0
165,2014-11-01,1851.0
166,2014-12-01,179.0
167,2015-01-01,2392.0
168,2015-02-01,794.0
169,2015-03-01,5166.0
170,2015-04-01,3129.0
171,2015-05-01,422.0
172,2015-06-01,16610.0
173,2015-07-01,1449.0
174,2015-08-01,20604.0
175,2015-09-01,592.0
176,2015-10-01,1738.0
177,2015-11-01,2341.0
178,2015-12-01,1343.0
179,2016-01-01,2237.0
180,2016-02-01,463.0
181,2016-03-01,2068.0
182,2016-04-01,3600.0
183,2016-05-01,337.0
184,2016-06-01,481.0
185,2016-07-01,4130.0
186,2016-08-01,1040.0
187,2016-09-01,600.0
188,2016-10-01,1921.0
189,2016-11-01,7332.0
190,2016-12-01,4478.0
191,2017-01-01,1825.0
192,2017-02-01,2292.0
193,2017-03-01,779.0
194,2017-04-01,1634.0
195,2017-05-01,5935.0
196,2017-06-01,1812.0
197,2017-07-01,1232.0
198,2017-08-01,2252.0
199,2017-09-01,661.0
200,2017-10-01,8831.0
201,2017-11-01,2672.0
202,2017-12-01,538.0
203,2018-01-01,945.0
204,2018-02-01,7165.0
205,2018-03-01,2001.0
206,2018-04-01,14545.0
207,2018-05-01,4296.0
208,2018-06-01,1024.0
209,2018-07-01,14631.0
210,2018-08-01,120274.0
211,2018-09-01,639.0
212,2018-10-01,4792.0
213,2018-11-01,10696.0
214,2018-12-01,6939.0
215,2019-01-01,13993.0
216,2019-02-01,5521.0
217,2019-03-01,1936.0
218,2019-04-01,7631.0
219,2019-05-01,3018.0
220,2019-06-01,2852.0
221,2019-07-01,6253.0
222,2019-08-01,4500.0
223,2019-09-01,750.0
224,2019-10-01,5378.0
225,2019-11-01,11517.0
226,2019-12-01,23991.0
227,2020-01-01,5923.0
228,2020-02-01,10899.0
229,2020-03-01,2649.0
230,2020-04-01,3631.0
231,2020-05-01,2489.0
232,2020-06-01,2523.0
233,2020-07-01,5263.0
234,2020-08-01,2982.0
235,2020-09-01,3458.0
236,2020-10-01,3005.0
237,2020-11-01,795.0
238,2020-12-01,19996.0
239,2021-01-01,10427.0
240,2021-02-01,22627.0
241,2021-03-01,24591.0
242,2021-04-01,12130.0
243,2021-05-01,8553.0
244,2021-06-01,14737.0
245,2021-07-01,10421.0
246,2021-08-01,10394.0
247,2021-09-01,11479.0
248,2021-10-01,4662.0
249,2021-11-01,29590.0
250,2021-12-01,410255.0
251,2022-01-01,9504.0
252,2022-02-01,17717.0
253,2022-03-01,37341.0
254,2022-04-01,17196.0
255,2022-05-01,24823.0
256,2022-06-01,6979.0
257,2022-07-01,6479.0
258,2022-08-01,22869.0
259,2022-09-01,10070.0
260,2022-10-01,4625.0
261,2022-11-01,7582.0
262,2022-12-01,10166.0
263,2023-01-01,67315.0
264,2023-02-01,37372.0
265,2023-03-01,28860.0
266,2023-04-01,36849.0
267,2023-05-01,47070.0
268,2023-06-01,13354.0
269,2023-07-01,79669.0
270,2023-08-01,27056.0
271,2023-09-01,24765.0
272,2023-10-01,34101.0
273,2023-11-01,4911.0
274,2023-12-01,3680.0
275,2024-01-01,22061.0
276,2024-02-01,34827.0
277,2024-03-01,25596.0
278,2024-04-01,15762.0
279,2024-05-01,15596.0
280,2024-06-01,3512.0
281,2024-07-01,33811.0
282,2024-08-01,31084.0
283,2024-09-01,48626.0
284,2024-10-01,14399.0
285,2024-11-01,27746.0
286,2024-12-01,27894.0
287,2025-01-01,32883.0
288,2025-02-01,22929.0
289,2025-03-01,15695.0
290,2025-04-01,33653.0
291,2025-05-01,3346.0
292,2025-06-01,27151.0
