date,best_lag,beta,r2
2002-09-01,12,-25574.13208198941,0.0801062072349894
2002-10-01,12,-25206.379340574153,0.08498926636087112
2002-11-01,12,-25276.97428172938,0.08557901560758818
2002-12-01,12,-25238.013831809505,0.08527654629069104
2003-01-01,12,-29355.869644876297,0.10278600114398118
2003-02-01,12,-28957.18323540946,0.0977794668778833
2003-03-01,12,-29008.14606546685,0.0973889683662581
2003-04-01,12,-28913.69831899763,0.09361713129873306
2003-05-01,12,-29129.439932933994,0.09896007191876732
2003-06-01,3,25031.447577532133,0.08898347773202886
2003-07-01,3,26817.589635784796,0.0985063610624829
2003-08-01,3,26526.706288717778,0.09613525023381109
2003-09-01,3,25680.747488590205,0.09280143158577414
2003-10-01,3,34493.675320547634,0.12754609960580376
2003-11-01,3,41301.825588282096,0.14021880844367673
2003-12-01,3,32696.070831463978,0.11894015104411149
2004-01-01,11,42713.05442377428,0.1265136922829443
2004-02-01,3,30226.97224360576,0.10436438671082482
2004-03-01,3,30413.058227866855,0.10381752395172739
2004-04-01,3,29684.88873610216,0.10177596061663563
2004-05-01,3,30966.065917841242,0.10476029740885084
2004-06-01,3,30356.303328650694,0.10341318024153312
2004-07-01,3,30310.27896254028,0.09956051491192786
2004-08-01,3,28401.27346991279,0.09039298366478676
2004-09-01,3,29148.373127983858,0.09445808202838957
2004-10-01,9,-5873.526672391786,0.1747174056331534
2004-11-01,9,-5608.293026418682,0.13694048794046798
2004-12-01,9,-5699.2092929652645,0.150716644303739
2005-01-01,9,-5322.749339746276,0.12012909552505713
2005-02-01,9,-5040.999477546913,0.12530195779961972
2005-03-01,9,-4798.061545501161,0.11499124944961059
2005-04-01,9,-4916.0496057391165,0.13554706066187983
2005-05-01,8,4942.973380354568,0.13608565696722164
2005-06-01,9,-4904.235313387224,0.13046708892391035
2005-07-01,9,-4962.301719461617,0.15095738188064955
2005-08-01,9,-4558.858144531809,0.1311537606383073
2005-09-01,8,5894.031582913432,0.19694061773171834
2005-10-01,8,7183.0523005294,0.25015608781922316
2005-11-01,8,6918.369517973424,0.24083791203118032
2005-12-01,8,6602.255384687964,0.22448689826188972
2006-01-01,8,6924.281020521356,0.2275419294836588
2006-02-01,8,7031.4379315261685,0.2446020475047369
2006-03-01,8,7003.665654269284,0.26854802002267375
2006-04-01,8,7256.417473939081,0.2956693304981397
2006-05-01,8,7217.155248721914,0.29614900806642985
2006-06-01,8,7016.181372492709,0.32886962347484827
2006-07-01,8,6805.940711271617,0.33618578372769803
2006-08-01,8,6779.717770303284,0.3317587089880508
2006-09-01,8,7553.90835268219,0.3323586365194523
