Year,Month,Korea,Korea_change,All destinations,All destinations_change
1972,,179,N.A.,19400,13
1973,,383,113.9,25999,34
1974,,373,-2.7,30036,15.5
1975,,328,-11.9,29832,-0.7
1976,,476,44.9,41557,39.3
1977,,550,15.7,44833,7.9
1978,,725,31.8,53908,20.2
1979,,1026,41.4,75934,40.9
1980,,1130,10.2,98242,29.4
1981,,1609,42.4,122163,24.3
1982,,1944,20.9,127385,4.3
1983,,2763,42.1,160699,26.2
1984,,3850,39.3,221441,37.8
1985,,4236,10,235152,6.2
1986,,6482,53,276530,17.6
1987,,9904,52.8,378034,36.7
1988,,13035,31.6,493069,30.4
1989,,14943,14.6,570509,15.7
1990,,14857,-0.6,639874,12.2
1991,,16399,10.4,765886,19.7
1992,,15002,-8.5,924953,20.8
1993,,17494,16.6,1046250,13.1
1994,,18594,6.3,1170013,11.8
1995,,21688,16.6,1344127,14.9
1996,,22700,4.7,1397917,4
1997,,21651,-4.6,1455949,4.2
1998,,13804,-36.2,1347649,-7.4
1999,,21293,54.3,1349000,0.1
2000,,28632,34.5,1572689,16.6
2001,,25944,-9.4,1480987,-5.8
2002,,30396,17.2,1560517,5.4
2003,,35526,16.9,1742436,11.7
2004,,44069,24,2019114,15.9
2005,,48241,9.5,2250174,11.4
2006,,51873,7.5,2461027,9.4
2007,,52930,2,2687513,9.2
2008,,49564,-6.4,2824151,5.1
2009,,43133,-13,2469089,-12.6
2010,,53668,24.4,3031019,22.8
2011,,61274,14.2,3337253,10.1
2012,,58853,-4,3434346,2.9
2013,,64128,9,3559686,3.6
2014,,62384,-2.7,3672751,3.2
2015,,54380,-12.8,3605279,-1.8
2016,,54040,-0.6,3588247,-0.5
2017,,56672,4.9,3875898,8
2018,,57867,2.1,4158106,7.3
2019,,56555,-2.3,3988685,-4.1
2020,,52260,-7.6,3927517,-1.5
2021,,74556,42.7,4960656,26.3
2022,,81435,9.2,4531650,-8.6
2023,,73706,-9.5,4177405,-7.8
2024,,68816,-6.6,4542371,8.7
1972,Jan,10,N.A.,1434,24.7
1972,Feb,13,N.A.,1389,12.1
1972,Mar,11,N.A.,1362,9.2
1972,Apr,13,N.A.,1336,0.4
1972,May,13,N.A.,1606,7.1
1972,Jun,14,N.A.,1679,12.9
1972,Jul,12,N.A.,1681,8
1972,Aug,14,N.A.,1787,12.8
1972,Sep,19,N.A.,1879,22.3
1972,Oct,18,N.A.,1882,16
1972,Nov,22,N.A.,1759,16.1
1972,Dec,19,N.A.,1603,15.2
1973,Jan,18,82.5,1571,9.6
1973,Feb,15,17.4,1610,15.9
1973,Mar,28,162.5,1764,29.5
1973,Apr,18,37,1702,27.3
1973,May,29,125.5,1903,18.5
1973,Jun,30,106,2154,28.3
1973,Jul,26,118.2,2188,30.1
1973,Aug,26,84.1,2633,47.3
1973,Sep,54,179.8,2658,41.4
1973,Oct,49,167.8,2646,40.6
1973,Nov,49,120.4,2590,47.3
1973,Dec,41,113.6,2580,60.9
1974,Jan,35,94.3,2471,57.2
1974,Feb,42,178.6,2097,30.3
1974,Mar,49,74.7,2509,42.2
1974,Apr,36,95.7,2526,48.5
1974,May,38,29.8,2887,51.7
1974,Jun,33,12.5,2680,24.4
1974,Jul,20,-24.2,2691,23
1974,Aug,21,-18.6,2815,6.9
1974,Sep,27,-49.9,2579,-3
1974,Oct,20,-59.6,2145,-18.9
1974,Nov,25,-49.9,2377,-8.2
1974,Dec,28,-32.3,2258,-12.5
1975,Jan,23,-36.1,2150,-13
1975,Feb,18,-56.3,1757,-16.2
1975,Mar,28,-42.7,2179,-13.1
1975,Apr,32,-10.5,2215,-12.3
1975,May,26,-31.8,2291,-20.6
1975,Jun,22,-32.3,2423,-9.6
1975,Jul,28,41.5,2670,-0.8
1975,Aug,29,36,2697,-4.2
1975,Sep,23,-15.7,2947,14.3
1975,Oct,29,48.8,2671,24.5
