Year,HK_export_to_Korea
1972-01-01,10
1972-02-01,13
1972-03-01,11
1972-04-01,13
1972-05-01,13
1972-06-01,14
1972-07-01,12
1972-08-01,14
1972-09-01,19
1972-10-01,18
1972-11-01,22
1972-12-01,19
1973-01-01,18
1973-02-01,15
1973-03-01,28
1973-04-01,18
1973-05-01,29
1973-06-01,30
1973-07-01,26
1973-08-01,26
1973-09-01,54
1973-10-01,49
1973-11-01,49
1973-12-01,41
1974-01-01,35
1974-02-01,42
1974-03-01,49
1974-04-01,36
1974-05-01,38
1974-06-01,33
1974-07-01,20
1974-08-01,21
1974-09-01,27
1974-10-01,20
1974-11-01,25
1974-12-01,28
1975-01-01,23
1975-02-01,18
1975-03-01,28
1975-04-01,32
1975-05-01,26
1975-06-01,22
1975-07-01,28
1975-08-01,29
1975-09-01,23
1975-10-01,29
1975-11-01,39
1975-12-01,32
1976-01-01,34
1976-02-01,39
1976-03-01,33
1976-04-01,44
1976-05-01,49
1976-06-01,39
1976-07-01,35
1976-08-01,37
1976-09-01,41
1976-10-01,34
1976-11-01,41
1976-12-01,50
1977-01-01,40
1977-02-01,40
1977-03-01,45
1977-04-01,42
1977-05-01,65
1977-06-01,44
1977-07-01,43
1977-08-01,42
1977-09-01,49
1977-10-01,49
1977-11-01,46
1977-12-01,45
1978-01-01,44
1978-02-01,42
1978-03-01,62
1978-04-01,56
1978-05-01,71
1978-06-01,64
1978-07-01,54
1978-08-01,58
1978-09-01,63
1978-10-01,59
1978-11-01,75
1978-12-01,74
1979-01-01,70
1979-02-01,88
1979-03-01,77
1979-04-01,93
1979-05-01,94
1979-06-01,84
1979-07-01,78
1979-08-01,74
1979-09-01,97
1979-10-01,88
1979-11-01,100
1979-12-01,81
1980-01-01,86
1980-02-01,95
1980-03-01,105
1980-04-01,94
1980-05-01,111
1980-06-01,89
1980-07-01,101
1980-08-01,83
1980-09-01,94
1980-10-01,83
1980-11-01,90
1980-12-01,100
1981-01-01,116
1981-02-01,96
1981-03-01,129
1981-04-01,125
1981-05-01,147
1981-06-01,146
1981-07-01,118
1981-08-01,150
1981-09-01,151
1981-10-01,131
1981-11-01,153
1981-12-01,146
1982-01-01,124
1982-02-01,160
1982-03-01,184
1982-04-01,146
1982-05-01,167
1982-06-01,144
1982-07-01,140
1982-08-01,163
1982-09-01,182
1982-10-01,152
1982-11-01,184
1982-12-01,201
1983-01-01,168
1983-02-01,167
1983-03-01,236
1983-04-01,232
1983-05-01,236
1983-06-01,248
1983-07-01,231
1983-08-01,224
1983-09-01,235
1983-10-01,252
1983-11-01,262
1983-12-01,274
1984-01-01,282
1984-02-01,263
1984-03-01,333
1984-04-01,330
1984-05-01,362
1984-06-01,365
1984-07-01,357
1984-08-01,316
1984-09-01,323
1984-10-01,307
1984-11-01,317
1984-12-01,297
1985-01-01,336
1985-02-01,272
1985-03-01,347
1985-04-01,321
1985-05-01,330
1985-06-01,282
1985-07-01,356
1985-08-01,378
1985-09-01,415
1985-10-01,305
1985-11-01,454
1985-12-01,440
1986-01-01,406
1986-02-01,372
1986-03-01,476
1986-04-01,533
1986-05-01,535
1986-06-01,559
1986-07-01,627
1986-08-01,510
1986-09-01,549
1986-10-01,604
1986-11-01,663
1986-12-01,647
1987-01-01,654
1987-02-01,661
1987-03-01,805
1987-04-01,833
1987-05-01,902
1987-06-01,856
1987-07-01,892
1987-08-01,830
1987-09-01,787
1987-10-01,849
1987-11-01,870
1987-12-01,964
1988-01-01,879
1988-02-01,1024
1988-03-01,1074
1988-04-01,1055
1988-05-01,1126
1988-06-01,1098
1988-07-01,1198
1988-08-01,1127
1988-09-01,1111
1988-10-01,1102
1988-11-01,1140
1988-12-01,1101
1989-01-01,1127
1989-02-01,1142
1989-03-01,1243
1989-04-01,1441
1989-05-01,1245
1989-06-01,1327
1989-07-01,1322
1989-08-01,1236
1989-09-01,1124
1989-10-01,1267
1989-11-01,1288
1989-12-01,1176
1990-01-01,1124
1990-02-01,1089
1990-03-01,1288
1990-04-01,1311
1990-05-01,1404
1990-06-01,1185
1990-07-01,1201
1990-08-01,1189
1990-09-01,1157
1990-10-01,1338
1990-11-01,1445
1990-12-01,1127
1991-01-01,1263
1991-02-01,1013
1991-03-01,1288
1991-04-01,1454
1991-05-01,1627
1991-06-01,1373
1991-07-01,1529
1991-08-01,1329
1991-09-01,1472
1991-10-01,1366
1991-11-01,1384
1991-12-01,1303
